[Tue Jun  1 19:32:54.364 2010] 0.000 sec [all/2/rel 45 (0,20)] [performance_core] somewhat
[Tue Jun  1 19:39:09.854 2010] 0.074 sec [all/2/rel 2 (0,20)] [performance_core] 09-10
[Tue Jun  1 19:40:27.876 2010] 0.012 sec [all/2/rel 2 (0,20)] [performance_core] 09-10
[Tue Jun  1 19:40:47.522 2010] 0.051 sec [all/2/rel 3 (0,20)] [performance_core] we're
[Tue Jun  1 19:45:52.746 2010] 0.084 sec [all/2/rel 2 (0,20)] [performance_core] 09-10
[Tue Jun  1 19:48:38.859 2010] 0.048 sec [all/2/rel 3 (0,20)] [performance_core] we're
[Tue Jun  1 20:40:48.113 2010] 0.000 sec [all/2/rel 21 (0,20)] [performance_core] ruiner
[Tue Jun  1 20:40:59.680 2010] 0.000 sec [all/2/rel 21 (0,20)] [performance_core] ruiner
[Tue Jun  1 20:41:08.629 2010] 0.000 sec [all/2/rel 21 (0,20)] [performance_core] ruiner
[Tue Jun  1 20:41:13.968 2010] 0.000 sec [all/2/rel 21 (0,20)] [performance_core] ruiner
[Tue Jun  1 20:49:49.960 2010] 0.000 sec [all/2/rel 21 (25,25)] [performance_core] ruiner
[Tue Jun  1 20:49:58.843 2010] 0.000 sec [all/2/rel 21 (0,25)] [performance_core] ruiner
[Tue Jun  1 20:50:11.249 2010] 0.018 sec [all/2/rel 45 (0,25)] [performance_core] somewhat
[Tue Jun  1 20:50:12.387 2010] 0.000 sec [all/2/rel 45 (0,25)] [performance_core] somewhat
[Tue Jun  1 20:50:14.711 2010] 0.000 sec [all/2/rel 45 (25,25)] [performance_core] somewhat
[Tue Jun  1 20:50:18.995 2010] 0.000 sec [all/2/rel 3 (0,25)] [performance_core] somewhat ryanj
[Tue Jun  1 20:51:36.647 2010] 0.000 sec [all/2/rel 3 (0,25)] [performance_core] somewhat ryanj
[Tue Jun  1 20:51:40.228 2010] 0.000 sec [all/2/rel 2 (0,25)] [performance_core] 09-10
[Tue Jun  1 20:51:47.953 2010] 0.000 sec [all/2/rel 45 (0,25)] [performance_core] somewhat
[Tue Jun  1 20:51:50.723 2010] 0.000 sec [all/2/rel 45 (25,25)] [performance_core] somewhat
[Tue Jun  1 20:52:29.318 2010] 0.029 sec [scan/2/rel 192 (0,25)] [performance_core]
[Tue Jun  1 20:53:00.650 2010] 0.001 sec [scan/2/rel 192 (0,25)] [performance_core]
[Tue Jun  1 20:53:34.576 2010] 0.020 sec [scan/2/rel 192 (0,25)] [performance_core]
[Tue Jun  1 20:54:12.531 2010] 0.001 sec [scan/2/rel 192 (0,25)] [performance_core]
[Tue Jun  1 20:54:19.556 2010] 0.001 sec [scan/2/rel 192 (150,25)] [performance_core]
[Tue Jun  1 20:54:48.860 2010] 0.000 sec [scan/2/rel 192 (0,25)] [performance_core]
[Tue Jun  1 21:37:04.341 2010] 0.077 sec [scan/2/rel 192 (0,25)] [performance_core]
[Tue Jun  1 21:55:28.576 2010] 0.070 sec [all/2/rel 45 (0,25)] [performance_core] somewhat
[Wed Jun  2 04:54:38.694 2010] 0.048 sec [all/2/rel 45 (0,25)] [performance_core] somewhat
[Wed Jun  2 05:19:50.997 2010] 0.000 sec [all/2/rel 45 (0,25)] [performance_core] becoming
[Wed Jun  2 05:19:53.640 2010] 0.000 sec [all/2/rel 45 (25,25)] [performance_core] becoming
[Wed Jun  2 08:17:39.099 2010] 0.037 sec [all/2/rel 45 (0,25)] [performance_core] somewhat
[Wed Jun  2 08:17:42.670 2010] 0.000 sec [all/2/rel 45 (25,25)] [performance_core] somewhat
[Wed Jun  2 10:25:46.165 2010] 0.000 sec [scan/2/rel 192 (0,25)] [performance_core]
[Wed Jun  2 11:25:56.448 2010] 0.021 sec [all/2/rel 3 (0,25)] [performance_core] somewhat ryanj
[Wed Jun  2 11:25:56.813 2010] 0.014 sec [all/2/rel 2 (0,25)] [performance_core] 09-10
[Wed Jun  2 12:42:02.733 2010] 0.000 sec [scan/2/rel 192 (0,25)] [performance_core]
[Wed Jun  2 21:17:11.933 2010] 0.062 sec [all/2/rel 141 (0,25)] [performance_core] terrible
[Wed Jun  2 21:17:15.011 2010] 0.000 sec [all/2/rel 141 (75,25)] [performance_core] terrible
[Wed Jun  2 21:37:13.323 2010] 0.755 sec [all/2/rel 185 (0,25)] [performance_core] wish
[Wed Jun  2 21:41:21.180 2010] 0.000 sec [all/2/rel 3 (0,25)] [performance_core] toronto
[Wed Jun  2 21:41:28.771 2010] 0.013 sec [all/2/rel 5 (0,25)] [performance_core] france
[Wed Jun  2 21:41:33.674 2010] 0.000 sec [all/2/rel 12 (0,25)] [performance_core] germany
[Thu Jun  3 09:58:26.479 2010] 0.069 sec [scan/2/rel 192 (0,25)] [performance_core]
[Thu Jun  3 09:58:27.462 2010] 0.000 sec [scan/2/rel 192 (0,25)] [performance_core]
[Thu Jun  3 09:58:34.390 2010] 0.000 sec [scan/2/rel 192 (175,25)] [performance_core]
[Thu Jun  3 13:16:02.843 2010] 0.000 sec [scan/2/rel 192 (0,25)] [performance_core]
[Thu Jun  3 17:34:41.560 2010] 0.037 sec [all/2/rel 45 (0,25)] [performance_core] somewhat
[Fri Jun  4 05:24:18.903 2010] 0.110 sec [all/2/rel 0 (0,25)] [performance_core] "days of the new"
[Fri Jun  4 16:22:10.599 2010] 0.000 sec [all/2/rel 0 (0,25)] [performance_core] cantrell
[Fri Jun  4 16:22:17.957 2010] 0.000 sec [all/2/rel 0 (0,25)] [performance_core] cantrell
[Sat Jun  5 04:28:02.547 2010] 0.011 sec [scan/2/rel 192 (0,25)] [performance_core]
[Sat Jun  5 05:00:00.502 2010] 0.000 sec [scan/2/rel 192 (0,25)] [performance_core]
[Mon Jun  7 07:51:41.110 2010] 0.192 sec [scan/2/rel 192 (0,25)] [performance_core]
[Mon Jun  7 09:09:00.909 2010] 0.000 sec [scan/2/rel 192 (25,25)] [performance_core]
[Mon Jun  7 09:47:44.330 2010] 0.000 sec [scan/2/rel 192 (50,25)] [performance_core]
[Mon Jun  7 10:48:17.173 2010] 0.000 sec [scan/2/rel 192 (150,25)] [performance_core]
[Mon Jun  7 11:59:46.160 2010] 0.000 sec [scan/2/rel 192 (0,25)] [performance_core]
[Mon Jun  7 12:29:43.712 2010] 0.000 sec [scan/2/rel 192 (75,25)] [performance_core]
[Mon Jun  7 13:10:31.286 2010] 0.000 sec [scan/2/rel 192 (0,25)] [performance_core]
[Mon Jun  7 13:11:37.583 2010] 0.000 sec [scan/2/rel 192 (175,25)] [performance_core]
[Mon Jun  7 13:53:13.203 2010] 0.000 sec [scan/2/rel 192 (125,25)] [performance_core]
[Tue Jun  8 07:18:40.761 2010] 0.003 sec [all/2/rel 0 (0,25)] [performance_core] bosstones
[Tue Jun  8 12:06:05.632 2010] 0.089 sec [scan/2/rel 192 (100,25)] [performance_core]
[Tue Jun  8 16:37:00.846 2010] 0.061 sec [scan/2/rel 192 (0,25)] [performance_core]
[Wed Jun  9 09:59:32.622 2010] 0.124 sec [all/2/rel 3 (0,25)] [performance_core] somewhat ryanj
[Wed Jun  9 11:37:25.558 2010] 0.000 sec [scan/2/rel 192 (0,25)] [performance_core]
[Wed Jun  9 11:37:28.516 2010] 0.000 sec [scan/2/rel 192 (175,25)] [performance_core]
[Wed Jun  9 11:39:13.586 2010] 0.000 sec [scan/2/rel 1 (0,20)] [performance_core]
[Wed Jun  9 11:39:19.020 2010] 0.000 sec [scan/2/rel 192 (0,25)] [performance_core]
[Wed Jun  9 11:39:21.041 2010] 0.000 sec [scan/2/rel 192 (175,25)] [performance_core]
[Wed Jun  9 11:39:50.720 2010] 0.000 sec [scan/2/rel 1 (0,20)] [performance_core]
[Wed Jun  9 11:39:55.453 2010] 0.000 sec [scan/2/rel 192 (0,25)] [performance_core]
[Wed Jun  9 11:39:58.371 2010] 0.000 sec [scan/2/rel 192 (175,25)] [performance_core]
[Wed Jun  9 11:43:58.670 2010] 0.000 sec [scan/2/rel 192 (175,25)] [performance_core]
[Wed Jun  9 11:44:14.947 2010] 0.000 sec [scan/2/rel 192 (175,25)] [performance_core]
[Wed Jun  9 11:45:20.111 2010] 0.000 sec [scan/2/rel 192 (175,25)] [performance_core]
[Wed Jun  9 11:45:54.781 2010] 0.000 sec [scan/2/rel 192 (0,25)] [performance_core]
[Wed Jun  9 11:45:58.151 2010] 0.000 sec [scan/2/rel 192 (175,25)] [performance_core]
[Wed Jun  9 11:49:00.657 2010] 0.000 sec [scan/2/ext 192 (175,25)] [performance_core]
